rank,variant_id,family,wave,hypothesis,ok,ret_pct,dd_pct,orders,sharpe,sweep_config_hash,source_report,run_dir,result_path,error
11,industry_top8_broad,industry_warmup,1,Broader industry set tests whether George's weekly scan should stay inclusive.,True,27.695,19.4,72,1.025,5368ee5670eb,george_context_30_w1_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/5368ee5670eb/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/5368ee5670eb/fy2025_full/backtests/2026-06-09_03-17-44/1605691215.json,
12,industry_bct_share_heavy,industry_warmup,1,Favor industries with more BCT-qualified constituents.,True,27.695,19.4,72,1.025,95caf3a2696c,george_context_30_w1_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/95caf3a2696c/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/95caf3a2696c/fy2025_full/backtests/2026-06-09_03-18-27/1190630733.json,
13,industry_proxy_off,industry_warmup,1,Turn off proxy ETF contribution to test stock-only industry heat.,True,27.695,19.4,72,1.025,c3b9b2ee4056,george_context_30_w1_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/c3b9b2ee4056/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/c3b9b2ee4056/fy2025_full/backtests/2026-06-09_03-35-55/1736150798.json,
14,industry_proxy_boost,industry_warmup,1,Double proxy ETF contribution for rotation-led industries.,True,27.695,19.4,72,1.025,f223abc1af04,george_context_30_w1_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/f223abc1af04/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/f223abc1af04/fy2025_full/backtests/2026-06-09_03-37-13/1258765034.json,
15,carry_3_ttl5,watchlist_carry,2,"Tiny carry list, short memory.",True,27.695,19.4,72,1.025,8e1a6c293781,george_context_30_w2_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/8e1a6c293781/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/8e1a6c293781/fy2025_full/backtests/2026-06-09_03-40-12/1960235635.json,
16,carry_5_ttl10,watchlist_carry,2,Moderate carry list with one-to-two week memory.,True,27.695,19.4,72,1.025,76319726f32b,george_context_30_w2_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/76319726f32b/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/76319726f32b/fy2025_full/backtests/2026-06-09_03-40-57/1533346996.json,
17,carry_10_ttl10,watchlist_carry,2,"Default full carry candidate: ten carried names, normal memory.",True,27.695,19.4,72,1.025,8f7b407a82e4,george_context_30_w2_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/8f7b407a82e4/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/8f7b407a82e4/fy2025_full/backtests/2026-06-09_04-01-58/1739249732.json,
18,carry_15_ttl20,watchlist_carry,2,Large and patient carry list tests whether George's older finds still matter.,True,27.695,19.4,72,1.025,1cd7a915b3a5,george_context_30_w2_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/1cd7a915b3a5/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/1cd7a915b3a5/fy2025_full/backtests/2026-06-09_04-03-14/1574704942.json,
19,carry_liquid_strict,watchlist_carry,2,Carry only very liquid names to avoid stale small-cap subscription noise.,True,27.695,19.4,72,1.025,4e526e63b2e4,george_context_30_w2_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/4e526e63b2e4/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/4e526e63b2e4/fy2025_full/backtests/2026-06-09_04-22-53/1817452383.json,
20,carry_price_loose,watchlist_carry,2,Permit lower-priced carried names where George often hunts momentum.,True,27.695,19.4,72,1.025,6ee58a19ed64,george_context_30_w2_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/6ee58a19ed64/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w2_fy2025_stable4/6ee58a19ed64/fy2025_full/backtests/2026-06-09_04-23-46/1176121420.json,
21,attention_ticker_heavy,george_attention,3,Strong ticker-prior bump tests whether source evidence should dominate rank.,True,27.197,20.2,74,1.022,d4f7a2163a31,george_context_30_w3_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/d4f7a2163a31/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/d4f7a2163a31/fy2025_full/backtests/2026-06-09_04-20-32/1324787494.json,
22,industry_attention_boost,industry_warmup,1,Let George transcript attention move industry scores strongly.,True,26.343,20.2,74,0.983,074fc7efd879,george_context_30_w1_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/074fc7efd879/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w1_fy2025_stable4/074fc7efd879/fy2025_full/backtests/2026-06-09_03-16-23/1996135077.json,
23,attention_ticker_light,george_attention,3,Light ticker-prior bump.,True,26.343,20.2,74,0.983,9d8350957c9a,george_context_30_w3_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/9d8350957c9a/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/9d8350957c9a/fy2025_full/backtests/2026-06-09_04-00-05/1897555959.json,
24,attention_ticker_base,george_attention,3,Balanced ticker-prior bump.,True,26.343,20.2,74,0.983,69a53bac3a4c,george_context_30_w3_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/69a53bac3a4c/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/69a53bac3a4c/fy2025_full/backtests/2026-06-09_04-00-51/1576572761.json,
25,attention_industry_heavy,george_attention,3,Strong industry transcript prior with moderate ticker prior.,True,26.343,20.2,74,0.983,f2e42ea8bd0b,george_context_30_w3_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/f2e42ea8bd0b/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/f2e42ea8bd0b/fy2025_full/backtests/2026-06-09_04-21-14/1636633112.json,
26,attention_with_watchlist,george_attention,3,"Ticker prior can seed watchlist memory, but industry contribution stays low.",True,26.343,20.2,74,0.983,d43e494327b7,george_context_30_w3_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/d43e494327b7/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/d43e494327b7/fy2025_full/backtests/2026-06-09_04-41-12/1602912809.json,
27,attention_floor_05,george_attention,3,Drop weak industries even when ticker attention exists.,True,22.241,19.9,72,0.884,fe2d3debcb18,george_context_30_w3_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/fe2d3debcb18/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w3_fy2025_stable4/fe2d3debcb18/fy2025_full/backtests/2026-06-09_04-42-34/1326108001.json,
28,entry_gapvol_window60,entry_confirmation,4,Allow the first 60 minutes for the gap/loud-open confirmation.,True,18.652,23.0,76,0.699,1c7f726c7815,george_context_30_w4_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/1c7f726c7815/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/1c7f726c7815/fy2025_full/backtests/2026-06-09_05-03-24/1123642464.json,
29,entry_gapvol_gap04,entry_confirmation,4,Require a stronger +4% gap before intraday confirmation.,True,11.952,22.6,78,0.448,4283f8153b5b,george_context_30_w4_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/4283f8153b5b/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/4283f8153b5b/fy2025_full/backtests/2026-06-09_04-46-16/1547249286.json,
30,entry_gapvol_gap05,entry_confirmation,4,Require the highly selective +5% gap cohort.,True,0.018,22.4,78,0.062,bc3b8ca7b204,george_context_30_w4_fy2025_stable4,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/bc3b8ca7b204/fy2025_full,/Users/falk/projects/kumo-qc-412-exit-diagnostics/sweeps/runs/george_context_30_w4_fy2025_stable4/bc3b8ca7b204/fy2025_full/backtests/2026-06-09_05-02-32/1547608803.json,
