experiment_id,issue,experiment_type,hypothesis,denominator,label_set,feature_set,model_type,eval_protocol,candidate_rows,covered_dates,median_rows_per_day,labels_total,labels_in_panel,labels_selected,recall_at_5,recall_at_10,recall_at_20,recall_at_50,recall_at_100,recall_at_200,precision_pct,lift,command,commit,source,status,verdict,notes
first_hour_basic_confirmation,#425,confirmation,First-hour confirmation should reduce false positives after ranking rather than solve top10 alone,Massive ranking denominator top3000 score>=6 with local minute coverage,george_oof_stage1_scores 306 covered rows,first-hour hold reclaim no-flush facts,rule confirmation,full-pool confirmation precision,4313,46,,306,281,91,,,,,,,2.11,3.57,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.first_hour_confirmation --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator.csv --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --minute-dir /Users/falk/projects/kumo-qc/data/equity/usa/minute --year 2026 --top-n 3000 --min-score 6,c5a34cc,sweeps/archive/README.md,complete,confirmation_layer,91 labels selected and 3.57x precision lift
first_hour_breakout_confirmation,#425,confirmation,Breakout-style first-hour confirmation should be higher precision but lower recall,Massive ranking denominator top3000 score>=6 with local minute coverage,george_oof_stage1_scores 306 covered rows,first-hour breakout confirmation facts,rule confirmation,full-pool confirmation precision,3028,46,,306,281,75,,,,,,,2.477,4.19,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.first_hour_confirmation --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator.csv --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --minute-dir /Users/falk/projects/kumo-qc/data/equity/usa/minute --year 2026 --top-n 3000 --min-score 6,c5a34cc,sweeps/archive/README.md,complete,confirmation_layer,75 labels selected and 4.19x precision lift
sector_industry_stage_recall,#409,diagnostic,George appears to work sector to industry to stock rather than pure stock rank,Massive profiled denominator top3000 score>=6,profiled in-panel George labels 187 rows,dynamic sector and industry strength,stage diagnostic,hierarchy stage recall,47493,46,1094,187,187,159,,,,,,,,,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_sector_context_audit --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --top-n 3000 --min-score 6,c5a34cc,sweeps/archive/README.md,complete,diagnostic,Sector top7 recall was 159 of 187 and stock-in-industry top10 recall was 176 of 187
feature_parity_audit_2026_06_09,#423,diagnostic,Lab selector lift must be separated into deployable QC features versus offline model scores and local denominator ranks,Massive profiled denominator plus lab deployability inventory,george_top10_feature_rich_variant_summary and importances,QC learned ranker constants versus lab feature-rich selector features,feature parity audit,column deployability and top-importance classification,217,,,,,,,,,,,,,,PYTHONPATH=src:. python scripts/audit_scanner_feature_parity.py,47342f3,research/scanner-alignment/feature_parity_audit.md,complete,diagnostic,Top lab importances include 3 non-deployable model score features and 9 blocked local or TC2000 features in top25
denominator_rank_pairwise_sector_clean_top2000,#431,ranker,Per-day live-panel ranks should move George top10 alignment beyond absolute chart values,Massive profiled denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,QC-safe pairwise sector context plus recomputed live-panel denominator ranks,pairwise linear,date-grouped chronological OOF topK recall,47493,46,1094,306,281,216,49,87,121,173,191,,18.91,31.94,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_learned_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --model-type pairwise --use-sector-context --use-denominator-ranks --learning-rate 0.08 --pairwise-negatives-per-positive 80,5fe84d3,research/scanner-alignment/denominator_rank_experiment.md,complete,best_current,Clean_top2000 recall@10 improved from 72 to 87 of 306 and median George rank improved from 19.0 to 14.5
sector_breadth_pairwise_denominator_clean_top2000,#434,ranker,Profiled TC2000-style sector and industry breadth should add top-down context after denominator ranks,Massive profiled denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,QC-safe pairwise sector context plus denominator ranks plus profiled breadth columns,pairwise linear,date-grouped chronological OOF topK recall,47493,46,1094,306,281,216,51,88,122,175,187,,19.13,32.31,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_learned_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --model-type pairwise --use-sector-context --use-denominator-ranks --use-sector-breadth --learning-rate 0.08 --pairwise-negatives-per-positive 80,222b8e6,research/scanner-alignment/sector_breadth_experiment.md,complete,useful_not_promoted,Clean_top2000 recall@10 improved only 87 to 88 but score7_or_clean6 improved 77 to 82
lambdamart_sector_denominator_breadth_all,#435,ranker,Grouped LambdaMART should improve top10 by optimizing same-date ranking directly,Massive profiled denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,sector context plus denominator ranks plus profiled breadth columns,LightGBM LambdaMART,date-grouped chronological OOF topK recall,47493,46,1094,306,281,,69,107,143,195,231,,23.26,39.29,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_lambdamart_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026,7b1aa26,research/scanner-alignment/lambdamart_experiment.md,complete,best_current,All-rows recall@10 improved to 107 of 306 and clean_top2000 was 100 of 306
lambdamart_pu025_two_stage100,#433,ranker,Positive-unlabeled weighting and two-stage reranking should reduce noisy non-George negatives,Massive profiled denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,LambdaMART sector context plus denominator ranks plus profiled breadth with weak negatives and stage1 top100 rerank,LightGBM LambdaMART,date-grouped chronological OOF topK recall,47493,46,1094,306,281,,64,100,144,193,226,,21.74,36.72,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_lambdamart_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --negative-weight 0.25,e417ae2,research/scanner-alignment/pu_two_stage_experiment.md,complete,rejected_for_selector,PU-only was best of #433 at 100 of 306 recall@10 and underperformed #435 LambdaMART at 107
lambdamart_qc_cloud_safe_subset_clean_top2000,#423,ranker,QC-cloud-safe feature subset should show whether LambdaMART lift is promotable,Massive profiled denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,QC-cloud-safe inventory subset plus clean_top2000 gate,LightGBM LambdaMART,date-grouped chronological OOF topK recall,47493,46,1094,306,281,216,52,88,133,183,204,,19.13,32.31,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_lambdamart_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --use-qc-cloud-safe-features,0000000,research/scanner-alignment/clean_subset_experiment.md,complete,useful_not_promoted,Clean_top2000 recall@10 reached 88 of 306 and all-rows reached 72 of 306 so no runtime promotion
pairwise_qc_cloud_safe_subset_clean_top2000,#423,ranker,QC-cloud-safe filter should test whether dependency-free pairwise ranker can be promoted,Massive profiled denominator top3000 score>=6,george_oof_stage1_scores 306 covered rows,QC-cloud-safe inventory subset plus clean_top2000 gate,pairwise linear,date-grouped chronological OOF topK recall,47493,46,1094,306,281,216,26,54,95,149,184,,11.74,19.84,PYTHONPATH=src:. .venv/bin/python -m sweeps.archive.george_learned_ranker --labels-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_oof_stage1_scores.csv --denominator-csv /Users/falk/projects/kumo-lab/data/bluecloudtrading/scanner_compare/george_ranking_denominator_profiled.csv --coarse-dir /Users/falk/projects/kumo-qc/data/equity/usa/fundamental/coarse --year 2026 --model-type pairwise --use-sector-context --use-denominator-ranks --use-sector-breadth --use-qc-cloud-safe-features --learning-rate 0.08 --pairwise-negatives-per-positive 80,0000000,research/scanner-alignment/clean_subset_experiment.md,complete,rejected_for_selector,Pairwise QC-safe subset underperformed LambdaMART and full-feature pairwise
